Posting Date,Order No.,Work center Number,Department,Item,Time,Quantity,Sales order
4/27/2023,POR-11039524,101,Machine Carpentry,Door,1.79,15,SSO-12149005
4/27/2023,POR-11039524,102,Machine Carpentry,Door,1.43,15,SSO-12149005
4/27/2023,POR-11039523,103,Machine Carpentry,Door,6.43,15,SSO-12149005
4/27/2023,POR-11039523,106,Machine Carpentry,Door,25,15,SSO-12149005
4/27/2023,POR-11039523,107,Assembly,Door,151.08,15,SSO-12149005
3/31/2023,POR-11039523,205,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039777,202,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039890,203,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039768,202,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,203,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,202,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,201,Painting ,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,200,Painting ,Skirting ,50,390,SSO-12149005
3/31/2023,POR-11039760,112,Assembly,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,103,Machine Carpentry,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,106,Machine Carpentry,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,101,Machine Carpentry,Skirting ,0,390,SSO-12149005
3/31/2023,POR-11039760,100,Machine Carpentry,Skirting ,30,390,SSO-12149005
4/27/2023,POR-11039760,600,Control & Packing,Skirting ,0,390,SSO-12149005
3/20/2023,POR-11039760,600,Control & Packing,Cabinet,0,5,SSO-12149005
4/27/2023,POR-11039760,100,Machine Carpentry,Cabinet,0.19,5,SSO-12149005
4/27/2023,POR-11039760,101,Machine Carpentry,Cabinet,0.17,5,SSO-12149005
4/27/2023,POR-11039760,103,Machine Carpentry,Cabinet,2,5,SSO-12149005
4/27/2023,POR-11039759,107,Assembly,Cabinet,20,5,SSO-12149005
4/27/2023,POR-11039759,101,Machine Carpentry,Cabinet,1.25,5,SSO-12149005
4/27/2023,POR-11039759,103,Machine Carpentry,Cabinet,1,5,SSO-12149005
4/27/2023,POR-11039759,107,Assembly,Cabinet,50,5,SSO-12149005
3/22/2023,POR-11039759,600,Control & Packing,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,205,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,202,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,203,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,202,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,203,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,202,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,201,Painting ,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11039759,200,Painting ,Cabinet,15,3,SSO-12149005
3/31/2023,POR-11039759,112,Assembly,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11043345,103,Machine Carpentry,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11043345,106,Machine Carpentry,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11043345,101,Machine Carpentry,Cabinet,0,3,SSO-12149005
3/31/2023,POR-11043328,100,Machine Carpentry,Cabinet,20,3,SSO-12149005
3/22/2023,POR-11043328,600,Control & Packing,Cabinet,0,36,SSO-12149005
4/30/2023,POR-11043328,100,Machine Carpentry,Cabinet,0.25,36,SSO-12149005
4/30/2023,POR-11043328,101,Machine Carpentry,Cabinet,1,36,SSO-12149005
4/30/2023,POR-11043327,103,Machine Carpentry,Cabinet,1,36,SSO-12149005
4/30/2023,POR-11043327,106,Machine Carpentry,Cabinet,10,36,SSO-12149005
4/30/2023,POR-11043327,107,Assembly,Cabinet,120,36,SSO-12149005
3/22/2023,POR-11043326,600,Control & Packing,Cabinet,0,1,SSO-12149005
4/30/2023,POR-11043326,100,Machine Carpentry,Cabinet,0.08,1,SSO-12149005
4/30/2023,POR-11043326,101,Machine Carpentry,Cabinet,0.34,1,SSO-12149005
4/30/2023,POR-11043326,103,Machine Carpentry,Cabinet,0.25,1,SSO-12149005
4/30/2023,POR-11043325,106,Machine Carpentry,Cabinet,5,1,SSO-12149005
4/30/2023,POR-11043325,107,Assembly,Cabinet,30,1,SSO-12149005
3/31/2023,POR-11043325,600,Control & Packing,Cladding ,0,178,SSO-12149005
4/30/2023,POR-11043325,100,Machine Carpentry,Cladding ,0.17,178,SSO-12149005
4/30/2023,POR-11043325,101,Machine Carpentry,Cladding ,3.5,178,SSO-12149005
4/30/2023,POR-11043528,106,Machine Carpentry,Cladding ,40,178,SSO-12149005
4/30/2023,POR-11043528,107,Assembly,Cladding ,150,178,SSO-12149005
3/31/2023,POR-11043519,205,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043519,202,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043501,203,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043501,202,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043493,203,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043493,202,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043493,201,Painting ,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043493,200,Painting ,Cladding ,200,96,SSO-12149005
3/31/2023,POR-11043569,112,Assembly,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043569,103,Machine Carpentry,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043569,106,Machine Carpentry,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043569,101,Machine Carpentry,Cladding ,0,96,SSO-12149005
3/31/2023,POR-11043569,100,Machine Carpentry,Cladding ,100,96,SSO-12149005
4/27/2023,POR-11043564,600,Control & Packing,Cladding ,0,96,SSO-12149005
3/26/2023,POR-11043564,600,Control & Packing,Door,0,3,SSO-12149005
4/27/2023,POR-11043563,600,Control & Packing,Desk,0,3,SSO-12149005
4/27/2023,POR-11043563,100,Machine Carpentry,Desk,0.08,3,SSO-12149005
4/27/2023,POR-11043563,101,Machine Carpentry,Desk,0.5,3,SSO-12149005
4/27/2023,POR-11043563,106,Machine Carpentry,Desk,2,3,SSO-12149005
4/27/2023,POR-11043568,107,Assembly,Desk,50,3,SSO-12149005
4/27/2023,POR-11043568,600,Control & Packing,Sofa,0,5.72,SSO-12149005
4/27/2023,POR-11043568,100,Machine Carpentry,Sofa,4,5.72,SSO-12149005
4/27/2023,POR-11043484,101,Machine Carpentry,Sofa,4.4,5.72,SSO-12149005
4/27/2023,POR-11043484,102,Machine Carpentry,Sofa,1,5.72,SSO-12149005
4/27/2023,POR-11043480,103,Machine Carpentry,Sofa,2,5.72,SSO-12149005
4/27/2023,POR-11043480,106,Machine Carpentry,Sofa,5,5.72,SSO-12149005
4/27/2023,POR-11043429,107,Assembly,Sofa,300,5.72,SSO-12149005
4/30/2023,POR-11043429,304,Upholstery,Sofa,0,5.72,SSO-12149005
4/30/2023,POR-11042918,303,Upholstery,Sofa,0,5.72,SSO-12149005
4/30/2023,POR-11042918,300,Upholstery,Sofa,0,5.72,SSO-12149005
4/30/2023,POR-11042918,302,Upholstery,Sofa,240,5.72,SSO-12149005
4/27/2023,POR-11043477,100,Machine Carpentry,Mirror,0.07,8,SSO-12149005
4/27/2023,POR-11043477,101,Machine Carpentry,Mirror,0.8,8,SSO-12149005
4/27/2023,POR-11043477,103,Machine Carpentry,Mirror,2,8,SSO-12149005
4/27/2023,POR-11039776,107,Assembly,Mirror,75,8,SSO-12149005
4/27/2023,POR-11039776,600,Control & Packing,Mirror,0,8,SSO-12149005
4/27/2023,POR-11039775,600,Control & Packing,Panal,0,38,SSO-12149005
4/27/2023,POR-11039775,100,Machine Carpentry,Panal,0.17,38,SSO-12149005
4/27/2023,POR-11043388,101,Machine Carpentry,Panal,1.17,38,SSO-12149005
4/27/2023,POR-11041804,106,Machine Carpentry,Panal,14,38,SSO-12149005
4/27/2023,POR-11039693,107,Assembly,Panal,50,38,SSO-12149005
4/30/2023,POR-11043367,100,Machine Carpentry,Panal,0.67,38,SSO-12149005
